Stasjonsnr;JANRRatio;FEBRRatio;MARSRRatio;APRILRRatio;MAIRRatio;JUNIRRatio;WSZjan;WSZfeb;WSZmars;WSZapril;WSZmai;WSZjuni
124.2;0.2850939;0.2311444;0.2871098;0.4771379;0.8845252;0.9936698;0.8273596;0.8561127;0.7873357;0.46358025;0.0621266428;0.000000000
127.11;0.1975196;0.169313;0.2356827;0.4873338;0.8849408;0.9947744;0.8864994;0.9013438;0.8381123;0.49567901;0.0710872162;0.000000000
127.13;0.2883698;0.2424286;0.3048006;0.5410107;0.9157722;0.9982744;0.8321386;0.8475910;0.7801673;0.43765432;0.0465949821;0.000000000
133.7;0.5194134;0.4552955;0.4713976;0.676923;0.9577853;0.999921;0.6708483;0.6955097;0.6135006;0.29753086;0.0137395460;0.000000000
138.1;0.4784453;0.4198813;0.4571868;0.6592549;0.9554771;0.9998186;0.6983274;0.7171419;0.6475508;0.31481481;0.0155316607;0.000000000
139.15;0.1146027;0.1117506;0.1474422;0.2846066;0.7301971;0.97808;0.9540024;0.9616519;0.9372760;0.71481481;0.2048984468;0.001851852
139.35;0.1423852;0.1238874;0.2046048;0.3818309;0.8550785;0.9963048;0.9295102;0.9406752;0.8859020;0.58271605;0.1057347670;0.000000000
148.2;0.5343136;0.509871;0.567199;0.7533481;0.9687337;0.9997447;0.7264038;0.7400852;0.6636798;0.33518519;0.0149342891;0.000000000
15.21;0.04558758;0.04896138;0.07846691;0.44581;0.9564159;0.9999903;0.8954600;0.8915110;0.7843489;0.37098765;0.0137395460;0.000000000
15.49;0.01202194;0.04223523;0.03709127;0.1881572;0.7780228;0.9924991;0.9617682;0.9537856;0.9342891;0.68950617;0.1553166069;0.003086420
15.53;0.004905267;0.01676191;0.01409514;0.1623263;0.8011042;0.9942779;0.9653524;0.9577188;0.9318996;0.67716049;0.1391875747;0.001851852
15.79;0.008151675;0.01810245;0.01197053;0.1159109;0.5616374;0.9648746;0.9820789;0.9813176;0.9755078;0.83395062;0.3584229391;0.016666667
151.15;0.07836377;0.07078927;0.07900229;0.1743297;0.6271595;0.9568602;0.9719235;0.9741069;0.9647551;0.78518519;0.2962962963;0.011728395
152.4;0.3091812;0.2906371;0.3440036;0.5204933;0.8428993;0.9809571;0.8864994;0.8784005;0.8387097;0.52839506;0.0890083632;0.000000000
156.10;0.1826588;0.1539764;0.1948216;0.3132461;0.5908181;0.8499497;0.9486260;0.9564077;0.9402628;0.76419753;0.3243727599;0.041358025
157.3;0.4170205;0.3708356;0.4391875;0.6104147;0.8725685;0.9808187;0.8201912;0.8272697;0.7807646;0.49444444;0.0848267622;0.000617284
16.122;0.0252382;0.03198246;0.03123565;0.2320594;0.8585408;0.998188;0.9468339;0.9472304;0.9115890;0.63024691;0.1081242533;0.000617284
16.193;0.007510015;0.08879533;0.1336647;0.5006616;0.955528;0.9997384;0.8847073;0.8757784;0.7682198;0.35370370;0.0125448029;0.000000000
16.66;0.01153251;0.02295138;0.01597516;0.1864182;0.8338827;0.9971054;0.9617682;0.9583743;0.9378734;0.69876543;0.1457586619;0.001851852
16.75;0.03046931;0.0466828;0.04179945;0.2665386;0.8658921;0.9983174;0.9408602;0.9413307;0.9080048;0.61296296;0.1033452808;0.000000000
161.7;0.1183895;0.07083652;0.09039929;0.1939596;0.5703485;0.9199249;0.9647551;0.9708292;0.9593787;0.80308642;0.3476702509;0.035802469
162.3;0.2615398;0.2018418;0.2322865;0.3704372;0.8287882;0.9862917;0.9115890;0.9039659;0.8673835;0.60925926;0.1362007168;0.001851852
163.5;0.08509048;0.05450475;0.0671869;0.1538745;0.5604049;0.9189507;0.9737157;0.9819731;0.9689367;0.83209877;0.3769414576;0.029012346
165.6;0.4625788;0.4336339;0.4879573;0.6865876;0.9420706;0.9974057;0.7795699;0.7708948;0.7216249;0.40123457;0.0340501792;0.000000000
173.8;0.02102618;0.01721142;0.02744791;0.08088322;0.3626461;0.8422756;0.9946237;0.9904949;0.9898447;0.92962963;0.5937873357;0.111728395
174.3;0.13223;0.1011845;0.1276183;0.2190409;0.5778609;0.9040796;0.9551971;0.9524746;0.9551971;0.81296296;0.3608124253;0.025308642
177.4;0.3865822;0.3877002;0.3952198;0.5559095;0.8927669;0.9895008;0.8136201;0.8030154;0.7741935;0.51913580;0.0800477897;0.001851852
18.10;0.2720697;0.2296827;0.2678753;0.6905343;0.9912833;1;0.7425329;0.7617175;0.6069295;0.18333333;0.0000000000;0.000000000
191.2;0.170499;0.14402;0.1512932;0.2622032;0.6507263;0.9283015;0.9438471;0.9387086;0.9360812;0.75864198;0.2879330944;0.012345679
196.35;0.08992566;0.0928356;0.08066886;0.1842685;0.5985979;0.9221355;0.9767025;0.9734513;0.9695341;0.84691358;0.4020310633;0.021604938
2.11;0.003910824;0.004348182;0.02758575;0.1880767;0.7712178;0.9912067;0.9808841;0.9754179;0.9438471;0.70617284;0.1923536440;0.006790123
2.142;0.08684675;0.09074755;0.2045611;0.6233955;0.9705584;0.9999968;0.9163680;0.9118322;0.7574671;0.30000000;0.0089605735;0.000000000
2.145;0.01066696;0.0242401;0.03459626;0.1790231;0.6487845;0.9289269;0.9874552;0.9852507;0.9671446;0.77654321;0.2532855436;0.017283951
2.265;0.006649559;0.01315485;0.04363188;0.2657969;0.8125705;0.9923432;0.9784946;0.9695182;0.9324970;0.66851852;0.1583034648;0.004320988
2.268;0.008377069;0.02104794;0.03354988;0.1101385;0.4000405;0.7936816;0.9940263;0.9937725;0.9886499;0.89567901;0.4982078853;0.090123457
2.279;0.102957;0.1064438;0.1717195;0.5577841;0.9692265;1;0.8906810;0.8823337;0.7550777;0.27962963;0.0065710872;0.000000000
2.28;0.008267747;0.01560371;0.03707591;0.2974684;0.8673551;0.9986143;0.9755078;0.9629630;0.9157706;0.57777778;0.0854241338;0.000617284
2.291;0.004586374;0.01570902;0.01739988;0.06096824;0.323647;0.755948;0.9892473;0.9918060;0.9856631;0.88641975;0.5167264038;0.137654321
2.32;0.002400505;0.006359355;0.01271447;0.1593223;0.6613549;0.9428435;0.9886499;0.9865618;0.9665472;0.78888889;0.2849462366;0.024074074
2.323;0.02628339;0.02350653;0.08954733;0.4331593;0.9433016;0.9999495;0.9438471;0.9432973;0.8452808;0.40802469;0.0250896057;0.000000000
2.604;0.01483809;0.0213386;0.05836837;0.3182621;0.8422807;0.9901656;0.9784946;0.9708292;0.9211470;0.62716049;0.1135005974;0.000617284
2.614;0.01165876;0.02631551;0.03668739;0.1781977;0.6465661;0.9333653;0.9802867;0.9800066;0.9599761;0.77222222;0.2676224612;0.022839506
2.633;0.4610432;0.3981252;0.5113903;0.8224494;0.9992421;1;0.7138590;0.7531957;0.5531661;0.11604938;0.0000000000;0.000000000
20.2;0.1164979;0.1184565;0.1014568;0.3783056;0.9219424;0.9996761;0.8787336;0.8862668;0.8375149;0.48333333;0.0459976105;0.000000000
200.4;0.2833037;0.2690883;0.2688647;0.405039;0.7655782;0.9696954;0.8381123;0.8482465;0.8267622;0.58209877;0.1350059737;0.003703704
203.2;0.2004299;0.180079;0.186686;0.3230864;0.7196485;0.9333931;0.9307049;0.9249426;0.9020311;0.68888889;0.2060931900;0.004320988
206.3;0.04574651;0.04517442;0.03955369;0.1043364;0.467747;0.8564446;0.9898447;0.9878728;0.9850657;0.91234568;0.5340501792;0.072839506
208.3;0.01317162;0.009956358;0.006912322;0.07542656;0.5298724;0.9416624;0.9874552;0.9878728;0.9838710;0.89876543;0.4647550777;0.031481481
21.47;0.01677358;0.03557058;0.02739445;0.1581701;0.5892917;0.9672498;0.9784946;0.9721403;0.9641577;0.79012346;0.2915173238;0.015432099
212.10;0.001948654;0.0005499156;0.000933357;0.1085519;0.6651899;0.9840262;0.9898447;0.9904949;0.9874552;0.85555556;0.3482676225;0.009876543
212.49;0.0413323;0.03099737;0.02707691;0.1284414;0.5600814;0.9194176;0.9755078;0.9760734;0.9755078;0.83703704;0.3817204301;0.020987654
22.22;0.5950081;0.5283639;0.5594068;0.8745419;0.9995923;1;0.5639188;0.6220911;0.4295102;0.07407407;0.0000000000;0.000000000
22.4;0.3541942;0.3215684;0.3222131;0.6011943;0.9422294;0.9995863;0.7759857;0.8141593;0.7264038;0.34259259;0.0125448029;0.000000000
223.2;0.02931458;0.02132416;0.01198506;0.1324669;0.6177721;0.9569635;0.9796894;0.9819731;0.9796894;0.83827160;0.3608124253;0.017283951
230.1;0.06246529;0.07469037;0.05822721;0.2024613;0.7280654;0.9797327;0.9468339;0.9505080;0.9301075;0.72345679;0.2413381123;0.004938272
234.13;0.004169141;0.001358324;0.002162647;0.1392491;0.693655;0.9806159;0.9874552;0.9885284;0.9856631;0.84074074;0.3327359618;0.011728395
234.18;0.005567954;0.00705285;0.007208821;0.1761807;0.728018;0.9880359;0.9886499;0.9845952;0.9820789;0.80000000;0.2843488650;0.006790123
24.8;0.6690411;0.584325;0.5936879;0.84157;0.9931707;1;0.5806452;0.6535562;0.5035842;0.14320988;0.0011947431;0.000000000
24.9;0.3976226;0.3540556;0.3424405;0.6295122;0.9550882;0.9999942;0.7568698;0.8049820;0.7168459;0.34074074;0.0149342891;0.000000000
247.3;0.01055123;0.01201265;0.02645301;0.2160378;0.7651827;0.9842361;0.9820789;0.9767289;0.9486260;0.69567901;0.2031063321;0.003703704
25.24;0.01902752;0.04575453;0.01706812;0.1720679;0.5851868;0.9567771;0.9725209;0.9668961;0.9653524;0.78456790;0.2885304659;0.016666667
26.20;0.6093076;0.5511166;0.5717109;0.7665697;0.9688116;0.9999977;0.6463560;0.7105867;0.6009558;0.25185185;0.0107526882;0.000000000
26.26;0.06339931;0.1013037;0.04823849;0.2361036;0.7047127;0.9866456;0.9420550;0.9426418;0.9277180;0.69259259;0.1720430108;0.005555556
26.29;0.7408265;0.6676411;0.7124693;0.8699867;0.9914561;1;0.5274791;0.6057030;0.4432497;0.11481481;0.0005973716;0.000000000
27.24;0.6204782;0.5660912;0.5841016;0.7650847;0.9601064;0.9999314;0.6212664;0.6961652;0.5722820;0.22716049;0.0095579450;0.000000000
28.7;0.8541855;0.8050855;0.8517182;0.9473856;0.9984952;1;0.3990442;0.4765651;0.2891278;0.04135802;0.0000000000;0.000000000
3.22;0.3664833;0.3101496;0.4474895;0.8484483;0.9997182;1;0.7455197;0.7787611;0.5591398;0.10000000;0.0000000000;0.000000000
311.46;0.006492821;0.0126099;0.04785659;0.2772979;0.8306894;0.9968352;0.9808841;0.9714848;0.9217443;0.63456790;0.1164874552;0.000617284
311.6;0.008042642;0.01410271;0.04749357;0.2787988;0.8512485;0.9966467;0.9767025;0.9668961;0.9199522;0.62777778;0.1170848268;0.000000000
313.10;0.2176234;0.2054751;0.3507057;0.7376626;0.9895028;1;0.8166069;0.8351360;0.6475508;0.17839506;0.0023894863;0.000000000
42.2;0.5838896;0.5443776;0.5659973;0.7013958;0.9052975;0.9945596;0.6505376;0.7105867;0.6075269;0.28333333;0.0215053763;0.000000000
48.1;0.1581705;0.1653465;0.1658574;0.3167939;0.6007589;0.9009555;0.9534050;0.9570633;0.9307049;0.71851852;0.2323775388;0.014197531
48.5;0.07399908;0.08478637;0.07540531;0.2155785;0.5030593;0.8789191;0.9719235;0.9747624;0.9629630;0.79567901;0.3321385902;0.031481481
50.1;0.03961704;0.04849537;0.0417102;0.1435988;0.4033161;0.846987;0.9826762;0.9839397;0.9743130;0.85370370;0.4259259259;0.055555556
50.13;0.01726657;0.02929219;0.01749961;0.1163343;0.4903825;0.9414001;0.9838710;0.9852507;0.9772999;0.85185185;0.4044205496;0.036419753
55.5;0.5149902;0.4790481;0.4680151;0.6303065;0.8837736;0.9989741;0.6953405;0.7518846;0.6917563;0.39753086;0.0597371565;0.000617284
6.10;0.1703863;0.1604468;0.2496156;0.699128;0.992793;1;0.8363202;0.8456244;0.6851852;0.18456790;0.0011947431;0.000000000
62.10;0.1861343;0.180786;0.1779541;0.3620127;0.6993014;0.9427374;0.9235364;0.9321534;0.9068100;0.66728395;0.1726403823;0.008641975
62.5;0.2439134;0.2419398;0.2487109;0.4454136;0.7484048;0.9542279;0.8996416;0.9151098;0.8709677;0.58888889;0.1164874552;0.001234568
72.5;0.07337637;0.08230108;0.07864638;0.2089214;0.4877151;0.8769154;0.9808841;0.9845952;0.9737157;0.83827160;0.3673835125;0.041358025
73.27;0.002891702;0.009706509;0.01630671;0.09075846;0.4555138;0.920115;0.9940263;0.9931170;0.9886499;0.89135802;0.4683393070;0.061728395
75.23;0.0558261;0.08013765;0.09681716;0.277746;0.6357972;0.9648241;0.9749104;0.9747624;0.9611708;0.78086420;0.2538829152;0.016049383
76.5;0.04193;0.05231876;0.05829007;0.1430577;0.3481282;0.7230316;0.9880526;0.9911504;0.9850657;0.88271605;0.4940262843;0.126543210
77.3;0.1210685;0.1399417;0.1545918;0.3556804;0.6930472;0.9365996;0.9384707;0.9531301;0.9271207;0.68827160;0.1684587814;0.006790123
78.8;0.175908;0.1829335;0.2060319;0.3458639;0.5453721;0.8216737;0.9498208;0.9655851;0.9414576;0.73333333;0.2252090800;0.017901235
79.3;0.2324463;0.2402629;0.2376197;0.4306915;0.7587632;0.9567888;0.8841099;0.9006883;0.8637993;0.58641975;0.1230585424;0.001851852
8.2;0.1442229;0.1370692;0.2293057;0.6890091;0.9874658;1;0.8500597;0.8534907;0.6851852;0.18456790;0.0011947431;0.000000000
8.6;0.1940081;0.1843661;0.2987233;0.7880126;0.9954728;1;0.8201912;0.8279253;0.6362007;0.13703704;0.0011947431;0.000000000
82.4;0.6093436;0.5813849;0.6043803;0.7593192;0.9427225;0.9983862;0.6266428;0.6732219;0.5782557;0.27901235;0.0191158901;0.000000000
83.2;0.2799855;0.2800664;0.2910233;0.4588639;0.7519968;0.9454554;0.8739546;0.8974107;0.8500597;0.56481481;0.1164874552;0.001851852
84.11;0.4318848;0.4163723;0.4366777;0.6108976;0.8650197;0.9802967;0.7682198;0.8003933;0.7180406;0.41913580;0.0681003584;0.000617284
86.12;0.2366281;0.2283094;0.2294993;0.3407285;0.5983387;0.8709606;0.8733572;0.8954441;0.8518519;0.64814815;0.2126642772;0.025308642
87.10;0.1665899;0.1795082;0.1948522;0.3366944;0.6025851;0.8784577;0.9324970;0.9459194;0.9121864;0.69259259;0.2013142174;0.014197531
88.4;0.1324719;0.1404373;0.1634437;0.2634484;0.4793305;0.7866362;0.9653524;0.9760734;0.9510155;0.77592593;0.2933094385;0.034567901
91.2;0.7362535;0.6898807;0.7166697;0.802589;0.959606;0.9993695;0.4139785;0.4555883;0.3273596;0.13765432;0.0047789725;0.000000000
97.1;0.3595503;0.3422121;0.3731067;0.4771598;0.7945984;0.963476;0.7353644;0.7649951;0.6804062;0.40308642;0.0537634409;0.001234568
98.4;0.1498896;0.1592491;0.1762321;0.3023923;0.6384618;0.9068344;0.9157706;0.9255982;0.8829152;0.65370370;0.1738351254;0.011728395
